name surname,position,fg_pct,fg3_pct,fg2_pct,ft_pct,rebounds,asists,points_per_game
Bob Miller,PF,0.0,0.0,0.67,0.0,2.5,0.5,2.0
John Paxson,PG,0.77,0.34,0.51,0.77,1.13,3.37,6.67
John Pinone,SF,0.6,0.0,0.54,0.6,1.4,0.4,2.9
Tom Piotrowski,C,1.0,0.0,0.46,1.0,0.9,0.3,1.7
Leo Rautins,SF,0.3,0.0,0.18,0.3,0.85,0.9,0.85
Doc Rivers,PG,0.77,0.31,0.43,0.77,2.91,5.21,9.99
Fred Roberts,PF,0.79,0.33,0.49,0.79,2.47,1.04,6.53
Byron Scott,SG,0.83,0.36,0.5,0.83,2.76,2.55,14.01
Steve Stipanovich,C,0.79,0.19,0.49,0.79,7.78,2.32,13.2
Jon Sundvold,PG,0.77,0.45,0.4,0.77,0.92,2.52,6.78
Dane Suttle,SG,0.93,0.0,0.51,0.93,0.85,0.75,4.4
Jim Thomas,SG,0.5,0.07,0.41,0.5,1.68,1.75,5.07
